horizon,mean_model_accuracy,mean_balanced_accuracy,mean_baseline_accuracy,mean_excess_accuracy,worst_excess_accuracy,mean_auc
15m,51.369606003752345,51.194107332158275,46.11632270168856,5.25328330206379,3.0018761726078793,50.1078145975325
30m,49.471624266144815,49.45898626742679,49.04109589041096,0.4305283757338557,-3.7181996086105684,49.87825528122104
60m,49.52991452991453,50.000626398328635,44.01709401709402,5.512820512820508,-1.923076923076927,49.490593968739496
90m,48.37647058823529,50.14720559075209,42.35294117647059,6.023529411764706,-4.235294117647058,51.41533126183536
