fold,rows,mae,correlation
1,468,0.001704769761113298,-0.22299185342754937
2,468,0.00216072805863188,0.17062529886531483
3,468,0.001729787658030603,-0.284737324044339
4,468,0.0009178376207151317,-0.1906483008991501
5,468,0.0012366334748881709,-0.036194256149302814
