horizon,rows,mean_accuracy,worst_accuracy,best_accuracy
15m,3198,51.369606003752345,50.28142589118198,52.34521575984991
30m,3069,49.471624266144815,43.24853228962818,55.57729941291585
60m,2811,49.52991452991453,41.02564102564102,56.623931623931625
90m,2553,48.37647058823529,37.88235294117647,61.64705882352941
