horizon,signals,accuracy,edge
15m,205,53.65853658536586,3.6585365853658587
30m,177,58.75706214689266,8.757062146892657
60m,137,60.58394160583942,10.58394160583942
90m,104,58.65384615384615,8.653846153846153
