horizon,mean_accuracy,minimum_accuracy,maximum_accuracy,total_signals
15m,53.860737290729,46.478873239436616,62.16216216216216,213
30m,53.38207284711522,39.0625,65.15151515151516,189
60m,56.81281771968046,43.75,80.3921568627451,153
90m,49.716215036237166,35.294117647058826,62.7906976744186,124
