strategy,signals,accuracy,avg_return
BASE,250,54.800000000000004,0.00668114304408558
MOMENTUM,184,53.2608695652174,-0.0019498729304910584
EMA_SLOPE,226,55.309734513274336,0.005841390771562148
FULL_CONFLUENCE,182,53.2967032967033,-0.002686072708180536
